coordinate,type,n_eval,L_REAL,L_GEN,L_IND,informative,g_j
nat,numeric,43902,0.36663859904629187,0.5423043798731194,0.6695587344828221,True,0.4200920959787628
density,numeric,43902,0.1614224425191636,0.4176929692157877,0.6032278608259654,True,0.4199470715439193
formation_energy_peratom,numeric,43902,0.19537081557830485,0.36033674639111046,0.6085912503637492,True,0.6007798334115286
ehull,numeric,43902,0.26521945488446225,0.5293402358333267,0.5661337810393026,True,0.12227249422163827
optb88vdw_bandgap,numeric,43902,1.322526109191287,3.3099136435917806,3.359994033452181,True,0.0245797193978243
magmom_oszicar,numeric,41586,0.03528390438382864,0.12482120701016339,0.12422005743427302,True,-0.006759338640939435
magmom_outcar,numeric,43105,0.006224557918768501,0.015352702568067849,0.014672280714634799,True,-0.08054500246693695
epsx,numeric,28172,0.10135847272119337,0.24014609112972846,0.648359596787144,True,0.7462754420376625
epsy,numeric,28172,0.10613158583062604,0.2450005173349308,0.6397044016371352,True,0.7397376189519685
epsz,numeric,28172,0.16265766334891843,0.30582703122088944,0.673691398586996,True,0.7198436071832477
chem_n_elements,numeric,43902,0.15687763307825686,0.3544888972337579,0.4862578856602696,True,0.4000512702069241
chem_composition_entropy,numeric,43902,0.13203280475924487,0.28562600079858164,0.4982986846257617,True,0.5806510939667305
chem_mean_atomic_number,numeric,43902,0.08079038885890344,0.2533072872686003,0.5678734625251489,True,0.6458162729589998
chem_atomic_number_range,numeric,43902,0.15367329415264894,0.3907240943514606,0.5631618796947676,True,0.4211052308454899
chem_mean_electronegativity,numeric,43902,0.09945669748457298,0.2549420420578556,0.5299183238365963,True,0.6387939480437458
chem_electronegativity_range,numeric,43902,0.10814107503032913,0.2163624579603505,0.49766810156107155,True,0.7221723383512639
chem_mean_atomic_radius,numeric,43902,0.08444920855581191,0.24689656104963761,0.5600983691424415,True,0.6584723238164123
chem_atomic_radius_range,numeric,43902,0.16975175123106517,0.33477699113569115,0.5725056307227092,True,0.5902578514875615
chem_mean_group,numeric,43902,0.17708249902842313,0.43540110739421356,0.579403815106326,True,0.35792959994252127
chem_group_range,numeric,43902,0.16172088733184858,0.4185596438229887,0.538462519913237,True,0.3182628775818807
chem_mean_period,numeric,43902,0.06108463261902122,0.19301966376491775,0.5534329699944496,True,0.7320290917418237
chem_period_range,numeric,43902,0.11341441043832033,0.2864928693719022,0.5171633510594271,True,0.571321577544385
crys,categorical,43902,0.42954762880962144,0.7106054393877272,0.7861373058175026,True,0.21181731076333432
dimensionality,categorical,43672,0.12834310313244185,0.3531095438725041,0.5189824143616046,True,0.4246189917936694
